Project,Version,Base,Default,KNN,Linear,Logistic,Tree,Forest,XMeans,Base.Partitions,Default.Partitions,KNN.Partitions,Linear.Partitions,Logistic.Partitions,Tree.Partitions,Forest.Partitions,XMeans.Partitions
Closure,119,277.5,332.0,277.5,277.5,278.5,277.5,277.5,333.0,0,0,0,0,0,0,0,0
Closure,12,194.5,297.0,194.5,194.5,194.5,206.5,194.5,282.5,0,0,0,0,0,0,0,0
Closure,120,77.0,204.0,77.0,77.0,77.0,77.0,77.0,163.0,0,0,0,0,0,0,0,0
Closure,121,138.0,232.5,138.0,138.0,138.0,141.0,138.0,217.5,0,0,0,0,0,0,0,0
Closure,122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
Closure,123,137.0,182.0,137.0,137.0,137.0,137.5,137.0,176.5,0,0,0,0,0,0,0,0
Closure,124,7.5,10.0,7.5,7.5,7.5,12.0,7.5,8.0,0,0,0,0,0,0,0,0
Closure,125,29.0,142.0,29.0,29.0,32.0,29.0,29.0,134.0,0,0,0,0,0,0,0,0
Closure,126,592,162.5,592,640,592,640,592,126.0,0,1,0,0,0,0,0,2
Closure,127,693,693,693,693,693,669,693,708,0,0,0,0,0,0,0,0
Closure,128,4.5,11.5,4.5,4.5,9.5,4.5,4.5,60.5,0,1,0,0,0,0,0,0
Closure,129,3298.0,3298.0,3298.0,3298.0,3298.0,3298.0,3298.0,3298.0,0,0,0,0,0,0,0,0
Closure,13,1162.0,1236.0,1162.0,1162.0,1163.0,1174.0,1162.0,1229.0,0,0,0,0,0,0,0,0
Closure,130,112.0,218.0,112.0,112.0,113.0,114.0,112.0,191.5,0,0,0,0,0,0,0,0
Closure,131,25.5,3.0,25.5,25.5,70.5,3.0,25.5,130.5,0,1,0,0,0,1,0,0
Closure,132,36.0,127.0,36.0,36.0,36.0,41.0,36.0,109.0,0,0,0,0,0,0,0,0
Closure,133,25.5,87.5,25.5,25.5,28.5,25.5,25.5,69.5,0,0,0,0,0,0,0,0
Closure,14,79.0,24.0,79.0,79.0,79.0,95.0,79.0,21.0,0,1,0,0,0,0,0,1
Closure,15,2389.5,2389.5,2389.5,2389.5,2389.5,2389.5,2389.5,2389.5,0,0,0,0,0,0,0,0
Closure,16,142.0,220.5,142.0,142.0,142.0,679,142.0,224.5,0,0,0,0,0,0,0,0
Closure,17,326.0,432.0,326.0,326.0,330.0,334.0,326.0,404.0,0,0,0,0,0,0,0,0
Closure,18,491.5,575.5,491.5,491.5,491.5,491.5,491.5,553.5,0,0,0,0,0,0,0,0
Closure,19,42.0,213.0,42.0,42.0,46.0,42.0,42.0,184.0,0,0,0,0,0,0,0,0
Closure,2,1.0,24.0,1.0,1.0,2.0,1.0,1.0,1.0,0,1,0,0,0,1,1,1
Closure,20,40.0,134.0,40.0,40.0,40.0,45.0,40.0,123.0,0,0,0,0,0,0,0,0
Closure,21,23.0,9.0,23.0,23.0,28.0,23.0,23.0,7.0,0,1,0,0,0,0,0,1
Closure,22,23.0,9.0,23.0,23.0,28.0,23.0,23.0,8.0,0,1,0,0,0,0,0,1
Closure,23,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0,0,0,0,0,0,0,0
Closure,24,81.5,153.0,81.5,81.5,81.5,82.5,81.5,149.0,0,0,0,0,0,0,0,0
Closure,25,34.0,204.0,34.0,34.0,35.0,34.0,34.0,173.0,0,0,0,0,0,0,0,0
Closure,26,9.5,11.0,9.5,9.5,10.0,24.5,9.5,17.0,0,0,0,0,0,1,0,0
Closure,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0
Closure,28,26.5,68.5,26.5,27.5,31.5,42.0,26.5,14.5,0,0,0,0,0,0,0,1
Closure,29,1945,761,1945,1945,1945,748,1945,761,0,0,0,0,0,0,0,0
Closure,3,940,940,940,940,940,953,940,940,0,0,0,0,0,0,0,0
Closure,30,801,804,801,801,801,800,801,830,0,0,0,0,0,0,0,0
Closure,31,337.0,386.0,337.0,337.0,337.0,337.0,337.0,380.5,0,0,0,0,0,0,0,0
Closure,32,835,834,835,835,835,236,835,834,0,0,0,0,0,0,0,0
